unit,tra_meas,destination,date,passengers
Passenger,Passengers on board (arrivals),LONDON GATWICK,2017-01-01,7712
Passenger,Passengers on board (arrivals),LONDON/CITY,2017-01-01,19051
Passenger,Passengers on board (arrivals),LONDON HEATHROW,2017-01-01,16534
Passenger,Passengers on board (arrivals),LONDON STANSTED,2017-01-01,13448
Passenger,Passengers on board (arrivals),WIEN-SCHWECHAT,2016-10-01,13072
Passenger,Passengers on board (arrivals),GENEVA,2016-10-01,6764
Passenger,Passengers on board (arrivals),ZURICH,2016-10-01,16078
Passenger,Passengers on board (arrivals),FRANKFURT/MAIN,2016-10-01,21605
Passenger,Passengers on board (arrivals),MUENCHEN,2016-10-01,28607
Passenger,Passengers on board (arrivals),BERLIN-TEGEL,2016-10-01,7419
Passenger,Passengers on board (arrivals),KOBENHAVN/KASTRUP,2016-10-01,6205
Passenger,Passengers on board (arrivals),BARCELONA/EL PRAT,2016-10-01,6479
Passenger,Passengers on board (arrivals),ADOLFO SUAREZ MADRID-BARAJAS,2016-10-01,6805
Passenger,Passengers on board (arrivals),MALAGA/COSTA DEL SOL,2016-10-01,5288
Passenger,Passengers on board (arrivals),PALMA DE MALLORCA,2016-10-01,7149
Passenger,Passengers on board (arrivals),NICE-COTE D'AZUR,2016-10-01,5340
Passenger,Passengers on board (arrivals),PARIS-CHARLES DE GAULLE,2016-10-01,11057
Passenger,Passengers on board (arrivals),MILANO/MALPENSA,2016-10-01,16886
Passenger,Passengers on board (arrivals),ROMA/FIUMICINO,2016-10-01,6512
Passenger,Passengers on board (arrivals),AMSTERDAM/SCHIPHOL,2016-10-01,20472
Passenger,Passengers on board (arrivals),PORTO,2016-10-01,33208
Passenger,Passengers on board (arrivals),LISBOA,2016-10-01,23819
Passenger,Passengers on board (arrivals),ISTANBUL/ATATURK,2016-10-01,5975
Passenger,Passengers on board (arrivals),LONDON GATWICK,2016-10-01,8763
Passenger,Passengers on board (arrivals),LONDON/CITY,2016-10-01,22368
Passenger,Passengers on board (arrivals),LONDON HEATHROW,2016-10-01,18723
Passenger,Passengers on board (arrivals),WIEN-SCHWECHAT,2016-07-01,12833
Passenger,Passengers on board (arrivals),GENEVA,2016-07-01,4766
Passenger,Passengers on board (arrivals),ZURICH,2016-07-01,15411
Passenger,Passengers on board (arrivals),FRANKFURT/MAIN,2016-07-01,22946
Passenger,Passengers on board (arrivals),MUENCHEN,2016-07-01,25916
Passenger,Passengers on board (arrivals),BERLIN-TEGEL,2016-07-01,7105
Passenger,Passengers on board (arrivals),KOBENHAVN/KASTRUP,2016-07-01,6227
Passenger,Passengers on board (arrivals),BARCELONA/EL PRAT,2016-07-01,11514
Passenger,Passengers on board (arrivals),ADOLFO SUAREZ MADRID-BARAJAS,2016-07-01,6682
Passenger,Passengers on board (arrivals),MALAGA/COSTA DEL SOL,2016-07-01,9596
Passenger,Passengers on board (arrivals),PALMA DE MALLORCA,2016-07-01,22284
Passenger,Passengers on board (arrivals),NICE-COTE D'AZUR,2016-07-01,8840
Passenger,Passengers on board (arrivals),PARIS-CHARLES DE GAULLE,2016-07-01,11362
Passenger,Passengers on board (arrivals),MILANO/MALPENSA,2016-07-01,15303
Passenger,Passengers on board (arrivals),ROMA/FIUMICINO,2016-07-01,9027
Passenger,Passengers on board (arrivals),AMSTERDAM/SCHIPHOL,2016-07-01,20388
Passenger,Passengers on board (arrivals),PORTO,2016-07-01,29543
Passenger,Passengers on board (arrivals),LISBOA,2016-07-01,21489
Passenger,Passengers on board (arrivals),ISTANBUL/ATATURK,2016-07-01,8919
Passenger,Passengers on board (arrivals),LONDON GATWICK,2016-07-01,8520
Passenger,Passengers on board (arrivals),LONDON/CITY,2016-07-01,22577
Passenger,Passengers on board (arrivals),LONDON HEATHROW,2016-07-01,17979
Passenger,Passengers on board (arrivals),WIEN-SCHWECHAT,2016-04-01,13978
Passenger,Passengers on board (arrivals),GENEVA,2016-04-01,7180
Passenger,Passengers on board (arrivals),ZURICH,2016-04-01,14934
Passenger,Passengers on board (arrivals),FRANKFURT/MAIN,2016-04-01,22747
Passenger,Passengers on board (arrivals),MUENCHEN,2016-04-01,27123
Passenger,Passengers on board (arrivals),BERLIN-TEGEL,2016-04-01,7089
Passenger,Passengers on board (arrivals),KOBENHAVN/KASTRUP,2016-04-01,6953
Passenger,Passengers on board (arrivals),BARCELONA/EL PRAT,2016-04-01,10531
Passenger,Passengers on board (arrivals),ADOLFO SUAREZ MADRID-BARAJAS,2016-04-01,7111
Passenger,Passengers on board (arrivals),MALAGA/COSTA DEL SOL,2016-04-01,8188
Passenger,Passengers on board (arrivals),PALMA DE MALLORCA,2016-04-01,16596
Passenger,Passengers on board (arrivals),NICE-COTE D'AZUR,2016-04-01,8226
